activo_id,tipo,nombre,criticidad_cid,propietario,proceso,capa,nivel_jerarquia,valor_estrategico_pct,detalle,descripcion,custodio,area,padre_principal,origen,confidencialidad,integridad,disponibilidad,justificacion_cid,marco_aplicable
PN-01,Proceso,Venta Online,4,Juan Castillo,Venta Online,1,1,0,Proceso de Negocio,"Proceso end-to-end de catálogo, carrito y checkout en la web pública.",Diego Sosa,GERENCIA GENERAL,,Nuevo,,,,,
PN-02,Proceso,Gestión de Pagos,4,Laura Mendez,Gestión de Pagos,1,1,0,Proceso de Negocio,"Cobro, conciliación y registro de pagos por todos los medios (tarjeta, transferencia, MercadoPago). Sujeto a PCI-DSS.",Diego Sosa,GERENCIA DE FINANZAS,,Nuevo,,,,,
PN-03,Proceso,Logística y Despacho,4,Juan Castillo,Logística y Despacho,1,1,0,Proceso de Negocio,"Preparación de pedidos, ruteo y entrega al cliente final desde los 3 CDs.",Diego Sosa,GERENCIA GENERAL,,Nuevo,,,,,
PN-04,Proceso,Atención al Cliente y Postventa,4,Juan Castillo,Atención al Cliente y Postventa,1,1,5,Proceso de Negocio,"Soporte, reclamos, garantías, devoluciones y NPS.",Diego Sosa,GERENCIA GENERAL,,Nuevo,,,,,
PN-05,Proceso,Gestión de Catálogo y Stock,4,Juan Castillo,Gestión de Catálogo y Stock,1,1,0,Proceso de Negocio,"Alta/baja/modificación de productos, precios, promos y control de inventario.",Diego Sosa,GERENCIA GENERAL,,Nuevo,,,,,
PN-06,Proceso,Gestión de Personal y Liquidación,4,Susana Ortiz,Gestión de Personal y Liquidación,1,1,0,Proceso de Negocio,"Gestión del personal: legajos, novedades, liquidación de sueldos y pagos a empleados.",Martín Rojas,GERENCIA DE RRHH,,Nuevo,,,,,
DI-01,Informacion,Datos personales de clientes,4,Juan Castillo,Venta Online,2,2,,Información,"Información personal de clientes del e-commerce: nombre, apellido, DNI, dirección de envío, email y teléfono. Alcanzados por la Ley 25.326 de Protección de Datos Personales.",Diego Sosa,GERENCIA GENERAL,PN-01,Nuevo,4,4,3,Filtración compromete a miles de clientes y dispara sanciones por Ley 25.326. Modificación afecta contactabilidad y entregas. Indisponibilidad detiene ventas.,Ley 25.326 (PDP)
DI-02,Informacion,Datos de pago y tarjetas,4,Laura Mendez,Gestión de Pagos,2,2,,Información,"Tokens de tarjetas, transacciones, conciliación bancaria. Datos sensibles bajo PCI-DSS.",Diego Sosa,GERENCIA DE FINANZAS,PN-02,Nuevo,4,4,4,Pérdida de confidencialidad genera fraude masivo y multa PCI-DSS. Adulteración descuadra cobros. Indisponibilidad detiene cobranza.,"PCI-DSS, Ley 25.326"
DI-03,Informacion,Catálogo de productos,4,Juan Castillo,Gestión de Catálogo y Stock,2,2,,Información,"SKU, descripción, precios, fotos, stock objetivo, fichas técnicas de electrodomésticos.",Diego Sosa,GERENCIA GENERAL,PN-05,Nuevo,1,4,4,"Información mayormente pública, pero adulteración de precios o fichas genera pérdida económica y reclamos. Sin catálogo no hay venta.",Defensa del Consumidor
DI-04,Informacion,Stock e inventario,4,Juan Castillo,Gestión de Catálogo y Stock,2,2,,Información,"Existencias por CD (CABA, Córdoba, Mendoza), reservas, tránsitos, mermas.",Diego Sosa,GERENCIA GENERAL,PN-05,Nuevo,2,4,4,Datos sensibles ante competidores. Adulteración genera ventas sin stock o sobrestock crítico. Indisponibilidad bloquea logística.,ISO 27001 A.5.12
