control_id,nivel_madurez,valor,madurez_desc,aspecto_clave,credibilidad,cumplimiento,evidencia,entrevistado,fecha,hallazgo,observaciones,fuente,objetivo_negocio,interpretacion
5.1,3,0.6,3 - Definido,Procedimientos,Alta,1.0,Politicas de SI: practica definida y documentada parcialmente para los procesos criticos de e-commerce.,Diego Sosa,2026-06-04,"Control definido, con oportunidad de medicion y cobertura transversal.","Agregar indicadores, responsables y revision periodica dentro de Gobierno SGSI, politicas y RACI.",TP1,Alinear seguridad con direccion y habilitar gobierno medible del SGSI.,El grafico debe leerse contra alinear seguridad con direccion y habilitar gobierno medible del sgsi.
5.2,3,0.6,3 - Definido,Procedimientos,Alta,1.0,Roles y responsabilidades de la SI: practica definida y documentada parcialmente para los procesos criticos de e-commerce.,Diego Sosa,2026-06-04,"Control definido, con oportunidad de medicion y cobertura transversal.","Agregar indicadores, responsables y revision periodica dentro de Gobierno SGSI, politicas y RACI.",TP1,Alinear seguridad con direccion y habilitar gobierno medible del SGSI.,El grafico debe leerse contra alinear seguridad con direccion y habilitar gobierno medible del sgsi.
5.3,2,0.15,2 - Gestionado,Buenas practicas,Alta,1.0,"Segregación de tareas: buenas practicas operativas aplicadas, sin normalizacion corporativa completa.",Diego Sosa,2026-06-04,"Control gestionado de forma parcial; falta formalizacion, evidencia o alcance completo.","Priorizar normalizacion y evidencias dentro de Gobierno SGSI, politicas y RACI.",TP1,Alinear seguridad con direccion y habilitar gobierno medible del SGSI.,El grafico debe leerse contra alinear seguridad con direccion y habilitar gobierno medible del sgsi.
5.4,3,0.6,3 - Definido,Procedimientos,Alta,1.0,Responsabilidades de la dirección: practica definida y documentada parcialmente para los procesos criticos de e-commerce.,Diego Sosa,2026-06-04,"Control definido, con oportunidad de medicion y cobertura transversal.","Agregar indicadores, responsables y revision periodica dentro de Gobierno SGSI, politicas y RACI.",TP1,Alinear seguridad con direccion y habilitar gobierno medible del SGSI.,El grafico debe leerse contra alinear seguridad con direccion y habilitar gobierno medible del sgsi.
5.5,2,0.15,2 - Gestionado,Buenas practicas,Alta,1.0,"Contacto con autoridades: buenas practicas operativas aplicadas, sin normalizacion corporativa completa.",Diego Sosa,2026-06-04,"Control gestionado de forma parcial; falta formalizacion, evidencia o alcance completo.","Priorizar normalizacion y evidencias dentro de Gobierno SGSI, politicas y RACI.",TP1,Alinear seguridad con direccion y habilitar gobierno medible del SGSI.,El grafico debe leerse contra alinear seguridad con direccion y habilitar gobierno medible del sgsi.
5.6,2,0.15,2 - Gestionado,Buenas practicas,Alta,1.0,"Contacto con grupos de interés especial: buenas practicas operativas aplicadas, sin normalizacion corporativa completa.",Diego Sosa,2026-06-04,"Control gestionado de forma parcial; falta formalizacion, evidencia o alcance completo.","Priorizar normalizacion y evidencias dentro de Gobierno SGSI, politicas y RACI.",TP1,Alinear seguridad con direccion y habilitar gobierno medible del SGSI.,El grafico debe leerse contra alinear seguridad con direccion y habilitar gobierno medible del sgsi.
5.7,1,0.05,1 - Inicial,Esfuerzo personal,Alta,1.0,Inteligencia de amenazas: tratamiento reactivo dependiente del esfuerzo de custodios tecnicos.,Diego Sosa,2026-06-04,Control inicial y reactivo; alta dependencia de personas y bajo respaldo documental.,"Tratar como brecha prioritaria dentro de Gobierno SGSI, politicas y RACI.",TP1,Alinear seguridad con direccion y habilitar gobierno medible del SGSI.,El grafico debe leerse contra alinear seguridad con direccion y habilitar gobierno medible del sgsi.
5.8,2,0.15,2 - Gestionado,Buenas practicas,Alta,1.0,"SI en la gestión de proyectos: buenas practicas operativas aplicadas, sin normalizacion corporativa completa.",Diego Sosa,2026-06-04,"Control gestionado de forma parcial; falta formalizacion, evidencia o alcance completo.","Priorizar normalizacion y evidencias dentro de Gobierno SGSI, politicas y RACI.",TP1,Alinear seguridad con direccion y habilitar gobierno medible del SGSI.,El grafico debe leerse contra alinear seguridad con direccion y habilitar gobierno medible del sgsi.
5.9,4,0.85,4 - Cuantitativo,Indicadores,Alta,1.0,"Inventario TP1 con 41 activos, propietarios, custodios, dependencias y capas PN/DI/AP/SV.",Juan Castillo,2026-06-04,Control fuerte para el contexto actual; sostener evidencia y periodicidad de revision.,"Mantener como base del tablero y usarlo para acelerar Gestion de activos, clasificacion y tratamiento.",TP1,"Proteger datos criticos de clientes, pagos, stock, RRHH y registros.","El grafico debe leerse contra proteger datos criticos de clientes, pagos, stock, rrhh y registros."
5.10,3,0.6,3 - Definido,Procedimientos,Alta,1.0,Uso de la información y activos asociados: practica definida y documentada parcialmente para los procesos criticos de e-commerce.,Juan Castillo,2026-06-04,"Control definido, con oportunidad de medicion y cobertura transversal.","Agregar indicadores, responsables y revision periodica dentro de Gestion de activos, clasificacion y tratamiento.",TP1,"Proteger datos criticos de clientes, pagos, stock, RRHH y registros.","El grafico debe leerse contra proteger datos criticos de clientes, pagos, stock, rrhh y registros."
